time,n,p,k, soiltemp, soilmoisture, irrigation  
2.32, 32.69, 95,24,102, 79, off 
4.61, 32.62, 95,24,102, 79, off 
6.90, 32.62, 95,24,102, 79, off 
9.19, 32.62, 95,24,102, 79, off 
11.47, 32.56, 95,24,102, 79, off 
13.76, 32.56, 95,24,102, 79, off 
16.05, 32.56, 95,24,102, 79, off 
18.33, 32.50, 95,24,102, 78, off 
20.62, 32.50, 95,24,102, 79, off 
22.91, 32.50, 95,24,102, 79, off 
25.19, 32.56, 95,24,101, 79, off 
27.48, 32.56, 94,24,102, 79, off 
29.77, 32.56, 94,24,101, 79, off 
32.05, 32.56, 94,24,101, 79, off 
34.34, 32.56, 94,24,101, 79, off 
36.63, 32.44, 94,24,101, 79, off 
38.91, 32.31, 94,23,101, 79, off 
41.20, 32.38, 94,23,101, 79, off 
43.49, 32.44, 94,23,101, 79, off 
45.78, 32.44, 94,23,101, 79, off 
48.06, 32.38, 94,23,101, 79, off 
50.35, 32.25, 93,23,100, 79, off 
52.65, 32.25, 93,23,100, 79, off 
54.92, 32.25, 93,23,100, 79, off 
57.21, 32.31, 93,23,100, 79, off 
59.50, 32.38, 93,23,100, 79, off 
61.79, 32.38, 93,23,100, 80, off 
64.09, 32.38, 93,23,100, 79, off 
66.36, 32.31, 93,23,100, 79, off 
68.68, 32.12, 93,23,100, 79, off 
70.94, 31.94, 92,23,99, 78, off 
73.22, 31.88, 92,23,99, 78, off 
75.51, 31.81, 92,23,99, 78, off 
77.80, 31.75, 92,23,99, 78, off 
80.08, 31.69, 92,23,99, 78, off 
82.38, 31.62, 91,22,99, 78, off 
84.66, 31.56, 91,22,99, 78, off 
86.95, 31.56, 91,22,99, 78, off 
89.23, 31.56, 91,22,99, 79, off 
91.52, 31.56, 91,22,99, 79, off 
93.81, 31.50, 91,22,98, 79, off 
96.09, 31.38, 91,22,98, 78, off 
98.39, 31.31, 91,22,98, 78, off 
100.67, 31.19, 91,22,98, 78, off 
102.95, 31.19, 90,22,98, 78, off 
105.24, 31.12, 90,22,98, 78, off 
107.53, 31.12, 90,22,98, 78, off 
109.82, 31.06, 90,22,98, 78, off 
112.10, 31.12, 90,22,97, 80, off 
114.39, 31.19, 90,22,98, 81, off 
116.68, 31.19, 90,22,97, 81, off 
118.96, 31.19, 90,22,98, 82, off 
121.26, 31.19, 90,22,97, 81, off 
123.54, 31.19, 90,22,97, 82, off 
125.83, 31.12, 90,22,97, 82, off 
128.11, 31.12, 90,22,97, 82, off 
130.44, 31.06, 90,22,97, 81, off 
132.69, 31.06, 90,22,97, 79, off 
134.97, 31.00, 89,22,97, 79, off 
137.26, 30.88, 89,22,97, 78, off 
139.55, 30.88, 89,22,97, 78, off 
141.84, 30.81, 89,22,97, 78, off 
144.12, 30.81, 89,22,97, 78, off 
146.42, 30.81, 89,22,97, 78, off 
148.70, 30.81, 89,22,97, 78, off 
152.34, 30.75, 89,22,97, 78, off 
154.11, 30.69, 89,22,96, 78, off 
155.83, 30.75, 89,21,96, 78, off 
157.85, 30.69, 89,21,96, 78, off 
160.13, 30.69, 89,21,96, 78, off 
