time,n,p,k, soiltemp, soilmoisture, irrigation  
9.44, 29.38, 87,21,94, 76, off 
11.16, 29.38, 87,21,94, 76, off 
12.94, 29.38, 87,21,94, 76, off 
14.76, 29.31, 87,21,94, 76, off 
16.45, 29.31, 87,21,94, 76, off 
18.18, 29.25, 87,21,94, 77, off 
19.89, 29.25, 87,21,94, 76, off 
21.66, 29.19, 87,21,94, 74, off 
23.41, 29.19, 87,21,94, 74, off 
25.18, 29.19, 86,21,94, 76, off 
27.24, 29.19, 86,21,94, 75, off 
29.05, 29.19, 87,20,94, 76, off 
30.82, 29.19, 86,20,94, 75, off 
32.57, 29.12, 86,20,94, 75, off 
34.34, 29.12, 86,20,94, 76, off 
36.63, 29.12, 86,20,94, 75, off 
38.92, 29.12, 86,20,94, 74, off 
41.21, 29.06, 86,20,94, 73, off 
43.57, 29.06, 86,20,94, 75, off 
45.78, 29.00, 86,20,94, 75, off 
48.06, 29.00, 86,20,94, 74, off 
50.35, 29.00, 86,20,94, 71, off 
52.63, 29.00, 86,20,94, 74, off 
54.92, 28.94, 86,20,94, 74, off 
57.21, 28.94, 86,20,94, 74, off 
59.49, 28.88, 86,20,94, 72, off 
61.79, 28.88, 86,20,93, 71, off 
64.07, 28.88, 86,20,93, 72, off 
66.36, 28.81, 86,20,93, 72, off 
68.64, 28.81, 86,20,93, 70, off 
70.93, 28.75, 86,20,93, 70, off 
73.22, 28.75, 86,20,93, 68, off 
75.50, 28.75, 86,20,93, 69, off 
77.80, 28.69, 86,20,93, 70, off 
80.08, 28.69, 86,20,93, 69, off 
82.36, 28.62, 86,20,93, 68, off 
84.65, 28.62, 86,20,93, 68, off 
86.94, 28.62, 86,20,93, 70, off 
89.22, 28.62, 86,20,93, 67, off 
91.51, 28.62, 86,20,93, 68, off 
93.80, 28.56, 86,20,93, 69, off 
96.08, 28.56, 86,20,93, 70, off 
98.37, 28.56, 86,20,93, 69, off 
100.66, 28.50, 85,20,93, 69, off 
102.95, 28.50, 86,20,93, 71, off 
105.23, 28.50, 85,20,93, 70, off 
107.52, 28.50, 85,20,93, 68, off 
109.81, 28.50, 85,20,93, 68, off 
112.12, 28.44, 85,20,93, 69, off 
114.38, 28.44, 85,20,93, 70, off 
116.67, 28.44, 85,20,93, 69, off 
118.95, 28.44, 85,20,93, 70, off 
121.24, 28.44, 85,20,93, 70, off 
123.53, 28.44, 85,20,93, 69, off 
125.82, 28.44, 85,20,93, 70, off 
128.10, 28.38, 85,20,93, 71, off 
130.39, 28.38, 85,20,93, 70, off 
