time,n,p,k, soiltemp, soilmoisture, temperature, humidity irrigation  
6.90, 24, 104,30,30.19, 9, 35.0,95 on 
11.48, 25, 104,31,30.19, 10, 34.0,95 on 
13.76, 24, 103,29,30.25, 13, 35.0,95 on 
18.34, 24, 104,30,30.31, 10, 35.0,95 on 
22.91, 25, 104,30,30.44, 12, 36.0,95 on 
25.20, 25, 104,31,30.50, 14, 35.0,95 on 
27.49, 25, 104,30,30.56, 13, 35.0,95 on 
29.77, 25, 104,31,30.62, 15, 35.0,95 on 
38.92, 22, 103,28,30.81, 13, 35.0,95 on 
41.21, 19, 101,24,30.81, 15, 36.0,95 on 
43.50, 18, 100,22,30.88, 13, 36.0,95 on 
50.36, 14, 99,20,30.94, 10, 36.0,95 on 
52.65, 14, 99,20,31.00, 10, 36.0,95 on 
54.93, 13, 99,20,31.06, 10, 36.0,95 on 
59.51, 12, 99,18,31.19, 5, 36.0,95 on 
68.66, 11, 98,18,31.38, 6, 36.0,95 on 
70.94, 13, 99,19,31.44, 5, 35.0,95 on 
73.23, 54, 116,59,31.44, 13, 36.0,95 on 
75.52, 53, 115,59,31.50, 5, 36.0,95 on 
77.80, 54, 116,58,31.62, 11, 36.0,95 on 
84.66, 55, 117,61,32.19, 10, 36.0,95 on 
91.53, 56, 117,61,32.38, 11, 36.0,95 on 
96.10, 60, 118,64,32.69, 10, 36.0,95 on 
100.68, 65, 121,70,33.00, 7, 36.0,95 on 
102.96, 65, 121,73,33.19, 4, 37.0,95 on 
107.71, 69, 123,74,33.44, 8, 37.0,95 on 
118.97, 74, 125,80,33.88, 2, 35.0,95 on 
121.26, 75, 125,79,34.00, 3, 36.0,95 on 
123.54, 75, 125,79,34.00, 4, 36.0,95 on 
128.12, 74, 125,79,34.12, 5, 36.0,95 on 
132.70, 73, 125,79,34.25, 3, 36.0,95 on 
134.98, 74, 125,79,34.31, 4, 37.0,95 on 
139.55, 75, 125,80,34.38, 10, 36.0,95 on 
144.13, 72, 125,79,34.38, 5, 36.0,95 on 
162.43, 73, 125,79,34.50, 7, 36.0,95 on 
164.71, 74, 124,77,34.44, 10, 36.0,95 on 
167.02, 72, 124,78,34.44, 9, 37.0,95 on 
173.86, 74, 124,78,34.38, 8, 36.0,95 on 
178.44, 71, 124,77,34.38, 11, 37.0,95 on 
180.72, 72, 124,78,34.31, 4, 37.0,95 on 
189.87, 70, 124,77,34.19, 6, 37.0,95 on 
196.74, 69, 123,75,34.00, 0, 36.0,95 on 
199.02, 71, 123,75,33.81, 2, 35.0,95 on 
203.59, 69, 122,73,33.75, 6, 36.0,95 on 
210.45, 67, 122,73,33.62, 4, 36.0,95 on 
212.74, 67, 122,73,33.56, 5, 36.0,95 on 
219.60, 66, 122,73,33.50, 2, 37.0,95 on 
228.77, 67, 122,73,33.38, 5, 36.0,95 on 
231.04, 65, 121,71,33.44, 11, 36.0,95 on 
235.62, 65, 121,71,33.31, 4, 36.0,95 on 
237.91, 65, 121,70,33.31, 8, 36.0,95 on 
240.19, 65, 121,71,33.25, 11, 36.0,95 on 
242.48, 65, 121,68,33.19, 5, 36.0,95 on 
247.05, 62, 120,68,33.12, 9, 36.0,95 on 
249.34, 62, 120,69,33.00, 3, 36.0,95 on 
258.49, 61, 120,68,32.88, 4, 36.0,95 on 
263.06, 60, 119,67,32.75, 8, 35.0,95 on 
265.35, 61, 119,65,32.75, 8, 36.0,95 on 
269.93, 60, 119,65,32.69, 4, 36.0,95 on 
276.78, 60, 118,65,32.50, 3, 36.0,95 on 
279.07, 58, 119,66,32.44, 8, 36.0,95 on 
281.36, 60, 118,64,32.38, 4, 35.0,95 on 
283.65, 58, 118,63,32.38, 9, 36.0,95 on 
288.22, 58, 118,64,32.31, 5, 36.0,95 on 
292.80, 57, 118,63,32.25, 4, 36.0,95 on 
295.08, 58, 118,62,32.19, 3, 36.0,95 on 
297.37, 57, 117,61,32.12, 1, 34.0,95 on 
306.52, 55, 118,63,31.88, 10, 34.0,95 on 
308.80, 56, 117,61,31.81, 10, 35.0,95 on 
313.38, 55, 117,61,31.75, 8, 34.0,95 on 
320.24, 54, 117,60,31.50, 5, 34.0,95 on 
324.81, 55, 118,61,31.38, 3, 34.0,95 on 
329.39, 55, 116,58,31.19, 4, 33.0,95 on 
331.67, 53, 116,58,31.12, 4, 33.0,95 on 
340.82, 51, 115,56,30.88, 2, 33.0,95 on 
349.97, 51, 114,55,30.56, 5, 33.0,95 on 
352.27, 49, 114,55,30.56, 3, 33.0,95 on 
363.70, 49, 114,53,30.44, 7, 32.0,95 on 
365.98, 48, 114,54,30.38, 7, 32.0,95 on 
370.55, 49, 113,53,30.25, 12, 32.0,95 on 
372.84, 45, 114,53,30.25, 13, 32.0,95 on 
379.71, 47, 113,52,30.12, 12, 32.0,95 on 
381.99, 46, 113,52,30.06, 5, 32.0,95 on 
