time,n,p,k, soiltemp , temperature, humidity, soilmoisture, irrigation  
1.90, 68, 12,75,30.81, 34.0,95, 42, off 
4.61, 68, 12,75,30.75, 34.0,95, 45, off 
5.52, 68, 12,75,30.69, 34.0,95, 43, off 
8.35, 68, 12,75,30.62, 34.0,95, 29, on 
9.34, 68, 12,75,30.56, 34.0,95, 44, off 
12.20, 255, 255,255,30.56, 34.0,95, 47, off 
13.16, 255, 255,255,30.56, 34.0,95, 28, on 
14.24, 255, 255,255,30.56, 34.0,95, 41, off 
15.20, 255, 255,255,30.69, 34.0,95, 47, off 
16.09, 255, 255,255,30.62, 34.0,95, 28, on 
17.02, 255, 255,255,30.62, 34.0,95, 46, off 
18.47, 255, 255,255,30.69, 34.0,95, 29, on 
20.36, 255, 255,255,30.88, 35.0,95, 43, off 
22.98, 0, 0,0,31.06, 35.0,95, 34, off 
23.84, 0, 0,0,31.00, 34.0,95, 34, off 
26.47, 1, 1,1,30.81, 34.0,95, 42, off 
27.37, 255, 255,255,30.81, 34.0,95, 34, off 
28.25, 0, 7,7,30.88, 34.0,95, 41, off 
30.04, 77, 16,85,30.88, 34.0,95, 34, off 
32.06, 77, 16,85,30.88, 35.0,95, 35, off 
33.82, 77, 16,85,30.94, 35.0,95, 33, off 
35.58, 1, 1,1,30.94, 35.0,95, 36, off 
36.49, 77, 16,85,30.94, 35.0,95, 44, off 
37.37, 77, 0,49,31.00, 35.0,95, 43, off 
38.27, 136, 123,113,31.06, 35.0,95, 43, off 
39.18, 136, 123,113,31.06, 35.0,95, 38, off 
41.06, 136, 123,113,31.12, 35.0,95, 34, off 
42.06, 136, 123,113,31.19, 36.0,95, 34, off 
43.01, 0, 0,0,31.19, 36.0,95, 41, off 
44.97, 255, 39,off,31.12, 36.0,95, 255, 255 
45.94, 255, 36,off,31.12, 36.0,95, 255, 255 
46.90, 255, 38,off,31.12, 36.0,95, 255, 255 
47.87, 255, 35,off,31.12, 36.0,95, 255, 255 
48.81, 255, 40,off,31.12, 36.0,95, 255, 255 
