time,n,p,k, soiltemp , temperature, humidity, soilmoisture, irrigation  
0.93, 122, 36,129,33.12, 35.0,95, 34, off 
3.42, 123, 36,130,33.12, 36.0,95, 33, off 
6.76, 124, 36,131,33.12, 35.0,95, 32, off 
7.58, 124, 37,131,33.06, 35.0,95, 38, off 
11.08, 124, 37,131,33.06, 36.0,95, 33, off 
12.75, 124, 37,131,33.06, 35.0,95, 34, off 
15.24, 124, 37,131,33.06, 35.0,95, 33, off 
16.10, 124, 37,131,33.00, 35.0,95, 35, off 
22.70, 33, off,123,32.94, 34.0,95, 36, 130 
24.37, 33, off,123,32.94, 35.0,95, 36, 130 
