time,n,p,k 
0.73, 219, 77,225 
1.41, 220, 78,225 
2.08, 219, 77,225 
2.79, 219, 77,225 
3.47, 219, 77,225 
4.16, 219, 77,225 
4.88, 219, 78,226 
5.68, 219, 77,225 
6.36, 219, 77,225 
7.08, 219, 77,226 
7.76, 219, 77,225 
8.47, 219, 77,225 
9.15, 219, 77,225 
9.86, 219, 77,225 
10.60, 219, 77,226 
11.40, 219, 77,225 
12.16, 220, 77,225 
12.84, 219, 77,225 
13.57, 219, 77,225 
14.33, 219, 78,225 
15.04, 219, 77,225 
15.73, 219, 77,225 
16.48, 219, 78,226 
17.20, 219, 77,225 
17.91, 219, 77,225 
18.59, 219, 77,225 
19.35, 219, 77,225 
20.03, 219, 78,225 
20.70, 220, 77,225 
21.43, 219, 77,225 
22.17, 219, 77,224 
22.88, 219, 77,226 
23.63, 220, 77,224 
24.36, 220, 77,225 
25.12, 219, 77,226 
25.80, 220, 77,225 
26.51, 219, 77,225 
27.19, 219, 77,225 
27.87, 218, 77,224 
28.58, 219, 77,225 
29.33, 219, 77,225 
30.06, 219, 77,225 
30.75, 218, 77,225 
31.51, 219, 77,225 
32.22, 218, 77,224 
32.88, 219, 77,225 
33.58, 219, 77,225 
34.31, 219, 77,224 
35.02, 218, 76,224 
35.70, 219, 77,224 
36.44, 219, 77,225 
37.15, 218, 77,224 
37.85, 218, 77,224 
38.56, 219, 77,224 
39.23, 217, 76,223 
39.93, 218, 77,223 
40.63, 218, 77,224 
41.37, 218, 76,223 
42.07, 217, 76,223 
42.80, 217, 76,223 
43.52, 217, 76,223 
44.27, 218, 76,223 
44.93, 217, 77,223 
45.65, 217, 76,223 
46.34, 217, 77,223 
47.05, 217, 76,223 
47.79, 217, 76,223 
48.47, 217, 76,223 
49.18, 217, 76,223 
50.06, 217, 76,223 
50.73, 217, 77,223 
51.45, 217, 76,223 
52.17, 217, 76,223 
52.87, 217, 76,223 
53.57, 217, 76,223 
54.25, 217, 76,222 
54.95, 217, 76,222 
55.66, 216, 76,223 
56.40, 217, 76,222 
57.08, 217, 76,222 
57.86, 216, 76,222 
58.56, 217, 76,222 
59.53, 216, 76,223 
60.24, 217, 76,222 
60.96, 216, 76,222 
61.66, 216, 76,223 
62.34, 216, 76,223 
63.04, 216, 76,223 
63.79, 216, 76,223 
64.47, 216, 76,222 
65.21, 216, 76,222 
65.95, 216, 76,223 
66.63, 216, 76,222 
67.35, 216, 76,222 
68.03, 216, 76,222 
68.76, 216, 76,223 
69.45, 216, 76,222 
70.13, 216, 76,222 
70.84, 216, 76,222 
71.53, 216, 76,222 
72.21, 216, 76,222 
72.94, 216, 76,222 
73.67, 215, 75,221 
74.35, 216, 76,222 
75.05, 216, 75,222 
75.72, 216, 76,222 
76.44, 76, 221,214 
77.14, 75, 221,215 
77.89, 75, 221,215 
78.58, 75, 221,215 
79.31, 75, 221,214 
80.04, 75, 221,215 
80.78, 75, 221,214 
81.48, 75, 221,215 
82.23, 75, 221,215 
82.92, 75, 221,214 
83.64, 75, 221,215 
84.38, 75, 221,215 
85.06, 75, 221,214 
85.73, 75, 221,215 
86.43, 75, 221,215 
87.14, 75, 221,215 
87.85, 75, 221,215 
88.56, 0, 0,0 
89.28, 70, 208,202 
89.99, 70, 208,202 
90.74, 70, 208,202 
91.45, 70, 208,201 
92.14, 70, 208,201 
92.84, 70, 208,202 
