time,n,p,k 
1.52, 180, 60,187 
2.99, 180, 61,187 
4.35, 179, 60,187 
5.82, 180, 60,186 
7.28, 180, 60,186 
8.67, 179, 60,186 
10.04, 180, 60,186 
11.39, 179, 60,186 
12.78, 179, 60,186 
14.20, 179, 60,185 
15.60, 179, 60,185 
17.09, 178, 60,185 
18.48, 178, 60,185 
19.96, 178, 60,184 
21.31, 178, 60,184 
22.75, 178, 60,184 
24.13, 178, 59,184 
25.51, 178, 60,184 
26.88, 177, 59,184 
28.28, 177, 59,184 
29.73, 177, 59,184 
31.20, 177, 59,183 
32.56, 177, 59,183 
33.94, 177, 59,183 
35.30, 177, 59,183 
36.74, 176, 59,182 
38.16, 176, 59,182 
39.53, 176, 59,182 
