time, soil_temp, soil_m, irrigation 
0, 35.5625, 29,  
0, 35.625, 29, on 
0, 35.625, 29, on 
0, 35.625, 29, on 
0, 35.625, 29, on 
0, 35.625, 28, on 
0, 35.625, 29, on 
0, 35.5625, 28, on 
0, 35.5625, 29, on 
0, 35.5625, 29, on 
0, 35.5625, 29, on 
0, 35.5625, 28, on 
0, 35.5625, 29, on 
0, 35.5625, 29, on 
0, 35.5625, 28, on 
0, 35.5625, 30, on 
0, 35.5, 29, on 
1, 35.5, 29, on 
1, 35.5, 29, on 
1, 35.5, 29, on 
1, 35.5, 27, on 
1, 35.5, 29, on 
1, 35.5, 29, on 
1, 35.5, 30, on 
1, 35.5, 28, on 
1, 35.5, 29, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
1, 35.5, 30, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
1, 35.4375, 29, on 
2, 35.4375, 29, on 
2, 35.4375, 29, on 
2, 35.375, 29, on 
2, 35.4375, 29, on 
2, 35.4375, 28, on 
2, 35.4375, 29, on 
2, 35.4375, 29, on 
2, 35.375, 31, on 
2, 35.375, 29, on 
2, 35.375, 29, on 
2, 35.375, 29, on 
2, 35.375, 28, on 
2, 35.375, 29, on 
2, 35.375, 29, on 
2, 35.375, 29, on 
2, 35.375, 29, on 
2, 35.3125, 29, on 
2, 35.375, 29, on 
3, 35.3125, 30, on 
3, 35.3125, 29, on 
3, 35.375, 29, on 
3, 35.3125, 29, on 
3, 35.3125, 29, on 
3, 35.375, 29, on 
3, 35.3125, 29, on 
3, 35.3125, 29, on 
3, 35.3125, 31, on 
3, 35.3125, 29, on 
3, 35.3125, 29, on 
3, 35.3125, 27, on 
3, 35.25, 29, on 
3, 35.25, 29, on 
3, 35.3125, 30, on 
3, 35.25, 29, on 
3, 35.25, 29, on 
3, 35.25, 28, on 
4, 35.25, 28, on 
4, 35.25, 29, on 
4, 35.25, 30, on 
4, 35.25, 29, on 
4, 35.1875, 29, on 
4, 35.25, 29, on 
4, 35.25, 29, on 
4, 35.1875, 29, on 
4, 35.1875, 30, on 
4, 35.1875, 30, on 
4, 35.1875, 28, on 
4, 35.1875, 28, on 
4, 35.1875, 30, on 
4, 35.1875, 29, on 
4, 35.1875, 29, on 
4, 35.1875, 29, on 
4, 35.1875, 30, on 
4, 35.1875, 29, on 
5, 35.1875, 29, on 
5, 35.125, 29, on 
5, 35.1875, 30, on 
5, 35.1875, 29, on 
