time,n,p,k 
1.38, 63, 10,71 
2.76, 63, 10,71 
4.14, 63, 10,71 
5.52, 63, 10,71 
6.87, 63, 10,71 
8.23, 63, 10,71 
9.60, 63, 10,71 
10.96, 63, 10,71 
12.34, 63, 10,71 
13.72, 63, 10,71 
15.25, 63, 10,71 
16.63, 63, 10,71 
17.99, 63, 10,71 
19.37, 63, 10,71 
20.79, 63, 10,71 
22.30, 63, 10,71 
23.69, 63, 10,71 
25.15, 63, 10,71 
26.61, 63, 10,71 
28.03, 63, 10,71 
29.37, 63, 10,71 
30.77, 63, 10,71 
32.17, 63, 10,71 
33.56, 63, 10,71 
34.98, 63, 10,71 
36.49, 63, 10,71 
37.93, 63, 10,71 
39.29, 63, 10,71 
40.75, 63, 10,71 
42.09, 63, 10,71 
43.47, 63, 10,71 
44.88, 63, 10,71 
46.31, 63, 10,71 
47.79, 70, 63,10 
49.18, 70, 63,10 
50.57, 70, 63,10 
