time,n,p,k 
1.37, 63, 10,71 
2.69, 63, 10,71 
4.00, 63, 10,71 
5.33, 63, 10,71 
6.65, 63, 10,71 
7.99, 63, 10,71 
9.31, 63, 10,71 
10.65, 63, 10,71 
12.00, 63, 10,71 
13.31, 63, 10,71 
14.68, 63, 10,71 
16.04, 63, 10,71 
17.36, 63, 10,71 
18.72, 63, 10,71 
20.09, 63, 10,71 
21.45, 63, 10,71 
22.77, 63, 10,71 
24.10, 63, 10,71 
25.45, 63, 10,71 
26.78, 63, 10,71 
28.13, 63, 10,71 
29.49, 64, 11,71 
30.81, 64, 11,71 
32.21, 64, 11,71 
33.53, 64, 11,71 
34.88, 64, 11,71 
36.23, 64, 11,71 
37.54, 64, 11,71 
38.86, 64, 10,71 
40.29, 64, 11,71 
41.63, 64, 11,71 
43.01, 63, 10,71 
44.33, 64, 10,71 
45.69, 64, 11,71 
47.08, 63, 10,71 
48.50, 63, 10,71 
49.84, 71, 64,11 
51.17, 71, 63,10 
52.52, 71, 64,11 
53.87, 71, 64,11 
55.30, 71, 64,11 
56.64, 71, 64,11 
60.42, 71, 64,11 
61.81, 71, 64,11 
63.17, 71, 64,11 
64.49, 71, 64,11 
65.88, 71, 64,11 
67.21, 71, 64,11 
68.58, 71, 64,11 
69.94, 71, 64,11 
71.32, 71, 64,11 
72.65, 71, 64,11 
73.97, 71, 64,11 
75.31, 71, 64,11 
76.68, 71, 64,11 
