time,n,p,k 
1.32, 157, 51,164 
2.61, 157, 51,164 
3.90, 157, 51,164 
5.19, 157, 51,164 
6.47, 157, 51,165 
7.86, 157, 51,164 
9.13, 157, 51,164 
10.38, 156, 51,164 
11.65, 156, 51,163 
12.94, 156, 50,163 
14.20, 154, 50,161 
15.48, 154, 49,161 
16.76, 153, 49,160 
18.05, 152, 49,159 
19.34, 152, 49,159 
20.64, 152, 49,159 
21.94, 151, 48,158 
23.23, 151, 48,158 
24.53, 150, 48,157 
25.79, 149, 47,156 
27.09, 149, 47,155 
28.39, 148, 47,155 
29.69, 148, 47,154 
30.97, 147, 46,154 
32.23, 147, 46,154 
33.51, 147, 46,153 
34.79, 146, 46,153 
36.06, 146, 46,153 
37.72, 145, 46,153 
38.97, 145, 46,152 
40.22, 145, 46,152 
41.48, 145, 45,152 
42.76, 144, 45,152 
44.04, 144, 45,151 
45.32, 149, 141,44 
46.63, 148, 141,44 
47.92, 148, 141,44 
